,Adherence to medication,Num. cardiologist Visit,Num. echocardiogram,Tot. access to ER
6+ periods,-0.010**,-0.014***,-0.002,-0.054***
,(0.004),(0.003),(0.002),(0.004)
5th period before treatment,-0.006,-0.014***,-0.005*,-0.044***
,(0.003),(0.003),(0.002),(0.004)
4th period before treatment,-0.004,-0.005,-0.002,-0.032***
,(0.003),(0.003),(0.002),(0.004)
3rd period before treatment,-0.005,-0.007*,-0.002,-0.026***
,(0.002),(0.003),(0.002),(0.004)
1st period before treatment,0.015***,0.041***,0.013***,0.265***
,(0.003),(0.004),(0.003),(0.005)
0 period assign treatment,0.152***,0.072***,0.021***,0.186***
,(0.004),(0.004),(0.003),(0.005)
1st period after treatment,0.134***,0.055***,0.018***,0.071***
,(0.005),(0.004),(0.003),(0.005)
2nd period after treatment,0.133***,0.057***,0.025***,0.046***
,(0.005),(0.004),(0.003),(0.005)
3rd period after treatment,0.131***,0.050***,0.015***,0.047***
,(0.006),(0.005),(0.003),(0.006)
4th period after treatment,0.127***,0.041***,0.010**,0.039***
,(0.006),(0.005),(0.003),(0.006)
5th period after treatment,0.115***,0.032***,0.005,0.041***
,(0.007),(0.005),(0.004),(0.006)
6+ periods,0.104***,0.012*,-0.001,0.042***
,(0.008),(0.006),(0.004),(0.007)
